data;

set INTERS := "73701" "73702" "73703" "73704" "73705" "73706" "73707" "73708" "73709" "73710" "73711" "73712" "73713" "73714" "73715" "73716" "73717" "73718" "73719" "73720" "73721" "73722" "73723" "73724" "73725" "73726" "73727" "73728" "73729" "73730" "73731" "73732" "73733" "73734" "73735" "73736" "73737" "73738" "73739" "74222" "74225" "74226" "74228" "74230" "74231" "74232" "74233" "74234" "74235" "74236" "74237" "74238" "74239" "5" "6" "7" "8" "9" "15" "16" "17" "19" "26" "27" "28" "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "47" "49" "50" "51" "52" "53" "55" "58" "59" "60" "61" "62" "63" "66" "67" "68" "69" "78" "83" "86" "88" "89" "90" "19396" "20349" "20513" "23043" "23046" "40948" "40954" "41623" "41628" "41633" "41638" "41643" "41653" "41666" "41671" "41875" "41961" "41964" "41967" "41970" "41977" "41979" "41982" "41985" "42325" "42896" "44123" "44409" "44426" "44433" "44440" "44457" "44464" "44480" "44487" "44494" "44510" "44515" "44522" "44529" "44536" "44543" "44548" "44555" "44563" "44570" "44577" "44582" "44589" "44592" "44599" "44604" "44609" "44616" "44623" "44628" "44635" "44665" "44672" "44679" "44686" "44693" "44710" "44717" "44724" "44731" "44738" "44743" "44746" "44753" "44758" "44765" "44772" "44779" "44786" "44793" "44800" "44807" "44814" "44821" "44828" "44838" "44845" "44862" "44877" "44884" "44891" "44898" "44905" "44916" "44923" "44930" "44937" "44944" "44951" "44958" "44965" "44972" "44979" "44986" "44993" "45003" "45010" "45017" "45024" "45031" "45041" "45053" "45084" "45095" "45124" "45131" "45138" "45145" "45152" "45159" "45166" "45173" "45180" "45187" "45194" "45201" "45213" "45220" "45227" "45234" "45241" "45248" "45264" "45271" "45278" "45285" "45292" "45299" "45324" "45361" "45364" "45370" "45377" "45384" "45391" "45398" "45405" "45412" "45419" "45426" "45429" "45434" "45440" "45443" "45450" "45460" "45467" "45474" "45481" "45488" "45495" "45504" "45511" "45531" "45534" "45541" "45548" "45555" "45562" "45569" "45576" "45583" "45589" "45596" "45603" "45608" "45615" "45639" "45646" "45653" "45660" "45667" "45674" "45683" "45690" "45697" "45704" "45707" "45714" "45721" "45728" "45735" "45742" "45749" "45756" "45763" "45770" "45777" "45784" "45787" "45794" "45817" "45824" "45831" "45839" "45846" "45853" "45860" "45867" "45874" "45954" "45996" "46031" "46038" "46045" "46052" "46059" "46066" "46073" "46080" "46087" "46094" "46101" "46108" "46115" "46122" "46129" "46136" "46143" "46150" "46156" "46163" "46170" "46177" "46184" "46198" "46211" "46218" "46225" "46232" "46239" "46246" "46253" "46260" "46267" "46274" "46281" "46288" "46295" "46302" "46309" "46316" "46323" "46330" "46337" "46344" "46351" "46358" "46365" "46390" "46395" "46402" "46409" "46414" "46419" "46424" "46431" "46446" "46460" "46463" "46470" "46477" "46484" "46491" "46505" "46518" "46525" "46532" "46563" "46601" "46624" "46641" "46654" "49180" "54773" "54782" "54784" "54789" "54792" "54799" "54806" "54811" "54837" "54839" "54849" "54858" "54865" "54874" "54885" "54969" "54972" "54975" "54977" "54979" "54989" "73656" "73657" "73658" "73659" "73660" "73661" "73662" "73663" "73664" "73665" "73666" "73667" "73668" "73669" "73670" "73671" "73672" "73673" "73674" "73675" "73676" "73677" "73678" "73679" "73680" "73681" "73682" "73683" "73684" "73685" "73686" "73687" "73688" "73689" "73690" "73691" "73692" "73693" "73694" "73695" "73696" "73697" "73698" "73699" "73700" "74240" "74241" "74242" "74243" "74246" "74247" "74280" "74281" "74300" "74301" "74341" "74342" ;

set PATHS := "1439" "1441" "1442" "1445" "1449" "1451" "1453" "1466" "1470" "1472" "1475" "1479" "1483" "1484" "1488" "1492" "1493" "1497" "1498" "1499" "1500" "1504" "1513" "1516" "1518" "1521" "1525" "1533" "1534" "1536" "1537" "1541" "1547" "1549" "1550" "1560" "1561" "1565" "1577" "1596" "1599" "1600" ;

set FIXED := "30" "78" "44628" "45173" "45481" "45555" "45787" "49180" ;

set PROHIBITED := "54977" "73703" "68" ;

param flows := "1439" 3.01909319 "1441" 0.201561508 "1442" 0.0169118542 "1445" 0.087739381 "1449" 1.54469582 "1451" 1.81723835 "1453" 0.47520665 "1466" 0.07047609 "1470" 0.3904207 "1472" 0.196657325 "1475" 1.15 "1479" 3.16772057 "1483" 0.793859798 "1484" 0.785414885 "1488" 29.18142257 "1492" 7.31323028 "1493" 7.23534715 "1497" 5.325409796 "1498" 1.731590204 "1499" 1.14912462 "1500" 0.26087538 "1504" 3.603 "1513" 261.108746 "1516" 12.7366992 "1518" 4.95444328 "1521" 3.847 "1525" 2.57730234 "1533" 0.091805664 "1534" 0.150891714 "1536" 1.26199912 "1537" 0.237295511 "1541" 0.0410226497 "1547" 0.0266830327 "1549" 1.90780095 "1550" 0.66219905 "1560" 5.52702845 "1561" 2.62297155 "1565" 0.144317233 "1577" 1.118953042 "1596" 1.427521556 "1599" 1.856208169 "1600" 1.17683063 ;

set PATH_INTER := ("1439",*) "5" "88" "89" "90" "40948" "44426" "44433" "44440" "44457" "44494" "73720" "74243" 
("1441",*) "5" "88" "89" "90" "40948" "44426" "44433" "44440" "44457" "44464" "44494" "73720" "74243" 
("1442",*) "88" "89" "90" "40948" "44464" "44510" "44529" "44536" "44592" "44609" "44779" "44786" "44793" "44800" "73720" "74243" 
("1445",*) "88" "89" "90" "40948" "44464" "44510" "44515" "44522" "44604" "44609" "44793" "44800" "73720" "74243" 
("1449",*) "88" "89" "90" "40948" "44464" "44510" "44515" "44522" "44529" "44536" "73720" "74243" 
("1451",*) "30" "31" "32" "45548" "45555" "45562" "45569" "45576" "45583" "45589" "45728" "46038" 
("1453",*) "30" "31" "32" "33" "34" "35" "36" "37" "45583" "45589" "45763" "45770" "46038" 
("1466",*) "32" "33" "34" "35" "36" "37" "45583" "45589" "45763" "46052" "46122" "46129" "46136" 
("1470",*) "30" "31" "32" "33" "34" "35" "45569" "45576" "45583" "45589" "45749" "46038" "46136" 
("1472",*) "30" "31" "32" "33" "34" "35" "36" "37" "38" "39" "40" "66" "42896" "45596" "45777" "46038" 
("1475",*) "30" "83" "45031" "45041" "45053" "45138" "45370" "45534" "45714" "46038" "73692" 
("1479",*) "41964" "41967" "41970" "41977" "41979" "41982" "41985" "46129" "46136" "46143" "54839" "54849" "54858" "54865" "73699" 
("1483",*) "41961" "41964" "41967" "41970" "41977" "41979" "41982" "41985" "54773" "54839" "54849" "54858" "54865" "54874" "73699" 
("1484",*) "41964" "41967" "41970" "41977" "41979" "41982" "41985" "46129" "46136" "46143" "54773" "54839" "54849" "54858" "54865" "73699" 
("1488",*) "41875" "41964" "41967" "41970" "41977" "41979" "41982" "41985" "42325" "44123" "46129" "46136" "46143" "54839" "54849" "54858" "54865" "73712" 
("1492",*) "41875" "41961" "41964" "41967" "41970" "41977" "41979" "41982" "41985" "42325" "44123" "54773" "54839" "54849" "54858" "54865" "54874" "73712" 
("1493",*) "41875" "41964" "41967" "41970" "41977" "41979" "41982" "41985" "42325" "44123" "46129" "46136" "46143" "54773" "54839" "54849" "54858" "54865" "73712" 
("1497",*) "27" "28" "54773" "54885" "54989" "73723" 
("1498",*) "27" "28" "46031" "46038" "54885" "54989" "73723" 
("1499",*) "30" "40954" "44563" "44746" "45053" "45138" "45370" "45534" "45714" "46038" "46491" "49180" "73734" 
("1500",*) "30" "40954" "44563" "44746" "45053" "45138" "45370" "45534" "45714" "46038" "46136" "46491" "49180" "73734" 
("1504",*) "5" "6" "7" "8" "9" "44480" "44487" "44494" "44522" 
("1513",*) "44604" "44609" "44616" "44623" "44628" "44635" 
("1516",*) "5" "6" "7" "8" "9" "44480" "44487" "44494" "44522" "44555" 
("1518",*) "44555" "44604" "44609" "44616" "44623" "44628" "44635" 
("1521",*) "88" "89" "90" "40948" "44464" "44510" "44515" "44522" "73720" "74243" 
("1525",*) "86" "90" "44409" "44464" "44510" "44515" "44522" "46460" "49180" "73734" 
("1533",*) "86" "44577" "44599" "44758" "44765" "44772" "44779" "44786" "46460" "46463" "46484" "49180" "73734" 
("1534",*) "40954" "44577" "44599" "44758" "44765" "44772" "44779" "44786" "46477" "46484" "46491" "49180" "73734" 
("1536",*) "63" "67" "68" "20349" "41623" "41628" "41633" "41643" "41653" "46414" 
("1537",*) "63" "67" "68" "19396" "20349" "41623" "41628" "41633" "41643" "41653" "41666" 
("1541",*) "63" "67" "68" "20349" "41633" "41638" "41643" "41653" "46414" "54789" "54806" "54811" 
("1547",*) "63" "67" "68" "19396" "20349" "41623" "41628" "41633" "41643" "41653" "41666" "54811" 
("1549",*) "69" "20349" "41623" "41628" "41633" "41643" "41653" "46414" "54811" 
("1550",*) "69" "19396" "20349" "41623" "41628" "41633" "41643" "41653" "41666" "54811" 
("1560",*) "20349" "41628" "41633" "41643" "41653" "46414" 
("1561",*) "19396" "20349" "41628" "41633" "41643" "41653" "41666" 
("1565",*) "49" "50" "51" "60" "61" "62" "78" "45166" "45412" "45419" "45429" "45434" "45443" "45450" "45817" "45824" "45831" "45839" "45846" "45954" "45996" "74231" 
("1577",*) "47" "58" "59" "60" "20349" "41628" "41633" "41643" "41653" "44944" "44951" "44958" "44965" "44972" "44993" "45460" "45467" "45646" "45824" "45831" "45839" "46395" "46414" 
("1596",*) "19" "51" "58" "59" "60" "44944" "44951" "44958" "44965" "44972" "44993" "45460" "45467" "45474" "45481" "45488" "45495" "45504" "45511" "45697" "45867" "46414" "46419" "74231" 
("1599",*) "15" "16" "17" "50" "51" "58" "44944" "44951" "44958" "44965" "44972" "44993" "45003" "45010" "45017" "45024" "45504" "45683" "45853" "45996" "74231" 
("1600",*) "26" "51" "52" "53" "55" "20513" "23043" "23046" "73656" "74235" "74237" 
;

set INTERS_NEIGHT := ("5",*) "6" "7" "44440" "44457" "44494" "44536" "73730" "73731" "74246" 
("6",*) "5" "7" "8" "73657" "74246" 
